# Velocities at centerlines of the cavity at Reynolds number 10 (using PetIBM-0.4)
# y	u	x	v
1.562500000000000000e-02 -1.099178593000900428e-02 1.562500000000000000e-02 2.695690476451614512e-02
4.687500000000000000e-02 -3.011929188153011569e-02 4.687500000000000000e-02 7.342486145946687526e-02
7.812500000000000000e-02 -4.712664838414119123e-02 7.812500000000000000e-02 1.115937525529823726e-01
1.093750000000000000e-01 -6.259242161108639901e-02 1.093750000000000000e-01 1.411089772821020882e-01
1.406250000000000000e-01 -7.696714665480959561e-02 1.406250000000000000e-01 1.620482412561391750e-01
1.718750000000000000e-01 -9.059528981039198514e-02 1.718750000000000000e-01 1.748288393407442520e-01
2.031250000000000000e-01 -1.037306615927868769e-01 2.031250000000000000e-01 1.801056036480526146e-01
2.343750000000000000e-01 -1.165461202937037588e-01 2.343750000000000000e-01 1.786740993845231107e-01
2.656250000000000000e-01 -1.291383646932184048e-01 2.656250000000000000e-01 1.713888608055434970e-01
2.968750000000000000e-01 -1.415285207013797508e-01 2.968750000000000000e-01 1.591014171565906521e-01
3.281250000000000000e-01 -1.536591236898264823e-01 3.281250000000000000e-01 1.426188167940225793e-01
3.593750000000000000e-01 -1.653880044312215636e-01 3.593750000000000000e-01 1.226807503786488951e-01
3.906250000000000000e-01 -1.764795292185086517e-01 3.906250000000000000e-01 9.995210983673755156e-02
4.218750000000000000e-01 -1.865936400977428744e-01 4.218750000000000000e-01 7.502753699112568730e-02
4.531250000000000000e-01 -1.952732086426745006e-01 4.531250000000000000e-01 4.844481936084725493e-02
4.843750000000000000e-01 -2.019303653818136923e-01 4.843750000000000000e-01 2.070453425785351645e-02
5.156250000000000000e-01 -2.058327183208376598e-01 5.156250000000000000e-01 -7.706115472842016770e-03
5.468750000000000000e-01 -2.060907326985872701e-01 5.468750000000000000e-01 -3.628695412117029229e-02
5.781250000000000000e-01 -2.016480276351854395e-01 5.781250000000000000e-01 -6.449754203040491962e-02
6.093750000000000000e-01 -1.912769522198539407e-01 6.093750000000000000e-01 -9.173071124010476196e-02
6.406250000000000000e-01 -1.735825252291083032e-01 6.406250000000000000e-01 -1.172892332391385767e-01
6.718750000000000000e-01 -1.470186245625486610e-01 6.718750000000000000e-01 -1.403687562703278269e-01
7.031250000000000000e-01 -1.099211140617069038e-01 7.031250000000000000e-01 -1.600511536726441086e-01
7.343750000000000000e-01 -6.056325333914441139e-02 7.343750000000000000e-01 -1.753133574879504886e-01
7.656250000000000000e-01 2.761013496221597762e-03 7.656250000000000000e-01 -1.850571851942890700e-01
7.968750000000000000e-01 8.162089412306075542e-02 7.968750000000000000e-01 -1.881649978272829371e-01
8.281250000000000000e-01 1.772968814647623570e-01 8.281250000000000000e-01 -1.835835663711700427e-01
8.593750000000000000e-01 2.905951137407882801e-01 8.593750000000000000e-01 -1.704337318162991444e-01
8.906250000000000000e-01 4.216384597084782970e-01 8.906250000000000000e-01 -1.481364165875203587e-01
9.218750000000000000e-01 5.696581251795186374e-01 9.218750000000000000e-01 -1.165375298889284733e-01
9.531250000000000000e-01 7.328272155124455622e-01 9.531250000000000000e-01 -7.600805334248057765e-02
9.843750000000000000e-01 9.081963667338314172e-01 9.843750000000000000e-01 -2.749481708026823776e-02
